query,sample,present
SRR11826866.4154,NC_045512,yes
SRR11826866.4169,NC_045512,yes
SRR11826866.4174,NC_045512,yes
SRR11826866.4262,NC_045512,yes
SRR11826866.4336,NC_045512,yes
SRR11826866.4356,NC_045512,yes
SRR11826866.4371,NC_045512,yes
SRR11826866.4405,NC_045512,yes
SRR11826866.4437,NC_045512,yes
SRR11826866.4448,NC_045512,yes
SRR11826866.4451,NC_045512,yes
SRR11826866.4466,NC_045512,yes
SRR11826866.4530,NC_045512,yes
SRR11826866.4556,NC_045512,yes
SRR11826866.4563,NC_045512,yes
SRR11826866.4573,NC_045512,yes
SRR11826866.4600,NC_045512,yes
SRR11826866.4603,NC_045512,yes
SRR11826866.4652,NC_045512,yes
SRR11826866.4666,NC_045512,yes
SRR11826866.4693,NC_045512,yes
SRR11826866.4758,NC_045512,yes
SRR11826866.4815,NC_045512,yes
SRR11826866.4822,NC_045512,yes
SRR11826866.4853,NC_045512,yes
SRR11826866.4894,NC_045512,yes
SRR11826866.4901,NC_045512,yes
SRR11826866.4917,NC_045512,yes
SRR11826866.4923,NC_045512,yes
SRR11826866.4930,NC_045512,yes
SRR11826866.4949,NC_045512,yes
SRR11826866.5025,NC_045512,yes
SRR11826866.5137,NC_045512,yes
SRR11826866.5185,NC_045512,yes
SRR11826866.5209,NC_045512,yes
SRR11826866.5241,NC_045512,yes
SRR11826866.5254,NC_045512,yes
SRR11826866.5306,NC_045512,yes
SRR11826866.5309,NC_045512,yes
SRR11826866.5312,NC_045512,yes
SRR11826866.5337,NC_045512,yes
SRR11826866.5389,NC_045512,yes
SRR11826866.5395,NC_045512,yes
SRR11826866.5456,NC_045512,yes
SRR11826866.5495,NC_045512,yes
SRR11826866.5514,NC_045512,yes
SRR11826866.5555,NC_045512,yes
SRR11826866.5562,NC_045512,yes
SRR11826866.5684,NC_045512,yes
SRR11826866.5692,NC_045512,yes
SRR11826866.5693,NC_045512,yes
SRR11826866.5735,NC_045512,yes
SRR11826866.5753,NC_045512,yes
SRR11826866.5819,NC_045512,yes
SRR11826866.5822,NC_045512,yes
SRR11826866.5827,NC_045512,yes
SRR11826866.5829,NC_045512,yes
SRR11826866.5835,NC_045512,yes
SRR11826866.5882,NC_045512,yes
SRR11826866.5931,NC_045512,yes
SRR11826866.5945,NC_045512,yes
SRR11826866.5951,NC_045512,yes
SRR11826866.5962,NC_045512,yes
SRR11826866.5971,NC_045512,yes
SRR11826866.5980,NC_045512,yes
SRR11826866.6010,NC_045512,yes
SRR11826866.6045,NC_045512,yes
SRR11826866.6053,NC_045512,yes
SRR11826866.6056,NC_045512,yes
SRR11826866.6068,NC_045512,yes
SRR11826866.6118,NC_045512,yes
SRR11826866.6121,NC_045512,yes
SRR11826866.6122,NC_045512,yes
SRR11826866.6150,NC_045512,yes
SRR11826866.6178,NC_045512,yes
SRR11826866.6199,NC_045512,yes
SRR11826866.6239,NC_045512,yes
SRR11826866.6253,NC_045512,yes
SRR11826866.6284,NC_045512,yes
SRR11826866.6325,NC_045512,yes
SRR11826866.6393,NC_045512,yes
SRR11826866.6424,NC_045512,yes
SRR11826866.6464,NC_045512,yes
SRR11826866.6551,NC_045512,yes
SRR11826866.6573,NC_045512,yes
SRR11826866.6598,NC_045512,yes
SRR11826866.6677,NC_045512,yes
SRR11826866.6683,NC_045512,yes
SRR11826866.6703,NC_045512,yes
SRR11826866.6737,NC_045512,yes
SRR11826866.6760,NC_045512,yes
SRR11826866.6788,NC_045512,yes
SRR11826866.6795,NC_045512,yes
SRR11826866.6885,NC_045512,yes
SRR11826866.6946,NC_045512,yes
SRR11826866.6960,NC_045512,yes
SRR11826866.6975,NC_045512,yes
SRR11826866.7013,NC_045512,yes
SRR11826866.7119,NC_045512,yes
SRR11826866.7120,NC_045512,yes
SRR11826866.7244,NC_045512,yes
SRR11826866.7249,NC_045512,yes
SRR11826866.7264,NC_045512,yes
SRR11826866.7282,NC_045512,yes
SRR11826866.7295,NC_045512,yes
SRR11826866.7308,NC_045512,yes
SRR11826866.7337,NC_045512,yes
SRR11826866.7367,NC_045512,yes
SRR11826866.7378,NC_045512,yes
SRR11826866.7401,NC_045512,yes
SRR11826866.7457,NC_045512,yes
SRR11826866.7462,NC_045512,yes
SRR11826866.7471,NC_045512,yes
SRR11826866.7477,NC_045512,yes
SRR11826866.7481,NC_045512,yes
SRR11826866.7503,NC_045512,yes
SRR11826866.7514,NC_045512,yes
SRR11826866.7524,NC_045512,yes
SRR11826866.7536,NC_045512,yes
SRR11826866.7538,NC_045512,yes
SRR11826866.7567,NC_045512,yes
SRR11826866.7575,NC_045512,yes
SRR11826866.7580,NC_045512,yes
SRR11826866.7593,NC_045512,yes
SRR11826866.7610,NC_045512,yes
SRR11826866.7629,NC_045512,yes
SRR11826866.7730,NC_045512,yes
SRR11826866.7760,NC_045512,yes
SRR11826866.7788,NC_045512,yes
SRR11826866.7796,NC_045512,yes
SRR11826866.7799,NC_045512,yes
SRR11826866.7800,NC_045512,yes
SRR11826866.7815,NC_045512,yes
SRR11826866.7823,NC_045512,yes
SRR11826866.7852,NC_045512,yes
SRR11826866.7855,NC_045512,yes
SRR11826866.7871,NC_045512,yes
SRR11826866.7874,NC_045512,yes
SRR11826866.7948,NC_045512,yes
SRR11826866.7961,NC_045512,yes
SRR11826866.7980,NC_045512,yes
SRR11826866.7985,NC_045512,yes
SRR11826866.7986,NC_045512,yes
SRR11826866.7989,NC_045512,yes
SRR11826866.8027,NC_045512,yes
SRR11826866.8033,NC_045512,yes
SRR11826866.8055,NC_045512,yes
SRR11826866.8093,NC_045512,yes
SRR11826866.8112,NC_045512,yes
SRR11826866.8122,NC_045512,yes
SRR11826866.8136,NC_045512,yes
SRR11826866.8145,NC_045512,yes
SRR11826866.8148,NC_045512,yes
SRR11826866.8150,NC_045512,yes
SRR11826866.8182,NC_045512,yes
SRR11826866.8218,NC_045512,yes
SRR11826866.8237,NC_045512,yes
SRR11826866.8266,NC_045512,yes
SRR11826866.8274,NC_045512,yes
SRR11826866.8326,NC_045512,yes
SRR11826866.8357,NC_045512,yes
SRR11826866.8401,NC_045512,yes
SRR11826866.8403,NC_045512,yes
SRR11826866.8442,NC_045512,yes
SRR11826866.8461,NC_045512,yes
SRR11826866.8479,NC_045512,yes
SRR11826866.8504,NC_045512,yes
SRR11826866.8509,NC_045512,yes
SRR11826866.8512,NC_045512,yes
SRR11826866.8535,NC_045512,yes
SRR11826866.8570,NC_045512,yes
SRR11826866.8651,NC_045512,yes
SRR11826866.8705,NC_045512,yes
SRR11826866.8727,NC_045512,yes
SRR11826866.8752,NC_045512,yes
SRR11826866.8783,NC_045512,yes
SRR11826866.8787,NC_045512,yes
SRR11826866.8803,NC_045512,yes
SRR11826866.8845,NC_045512,yes
SRR11826866.8880,NC_045512,yes
SRR11826866.8902,NC_045512,yes
SRR11826866.8925,NC_045512,yes
SRR11826866.8926,NC_045512,yes
SRR11826866.8975,NC_045512,yes
SRR11826866.9009,NC_045512,yes
SRR11826866.9156,NC_045512,yes
SRR11826866.9244,NC_045512,yes
SRR11826866.9265,NC_045512,yes
SRR11826866.9272,NC_045512,yes
SRR11826866.9316,NC_045512,yes
SRR11826866.9376,NC_045512,yes
SRR11826866.9451,NC_045512,yes
SRR11826866.9481,NC_045512,yes
SRR11826866.9483,NC_045512,yes
SRR11826866.9523,NC_045512,yes
SRR11826866.9573,NC_045512,yes
SRR11826866.9647,NC_045512,yes
SRR11826866.9661,NC_045512,yes
SRR11826866.9688,NC_045512,yes
SRR11826866.9691,NC_045512,yes
SRR11826866.9751,NC_045512,yes
SRR11826866.9773,NC_045512,yes
SRR11826866.9830,NC_045512,yes
SRR11826866.9835,NC_045512,yes
SRR11826866.9950,NC_045512,yes
SRR11826866.9977,NC_045512,yes
SRR11826866.9989,NC_045512,yes
SRR11826866.10005,NC_045512,yes
SRR11826866.10017,NC_045512,yes
SRR11826866.10025,NC_045512,yes
SRR11826866.10029,NC_045512,yes
SRR11826866.10077,NC_045512,yes
SRR11826866.10106,NC_045512,yes
SRR11826866.10111,NC_045512,yes
SRR11826866.10148,NC_045512,yes
SRR11826866.10221,NC_045512,yes
SRR11826866.10222,NC_045512,yes
SRR11826866.10228,NC_045512,yes
SRR11826866.10248,NC_045512,yes
SRR11826866.10267,NC_045512,yes
SRR11826866.10299,NC_045512,yes
SRR11826866.10331,NC_045512,yes
SRR11826866.10355,NC_045512,yes
SRR11826866.10401,NC_045512,yes
SRR11826866.10417,NC_045512,yes
SRR11826866.10438,NC_045512,yes
SRR11826866.10482,NC_045512,yes
SRR11826866.10515,NC_045512,yes
SRR11826866.10558,NC_045512,yes
SRR11826866.10657,NC_045512,yes
SRR11826866.10669,NC_045512,yes
SRR11826866.10670,NC_045512,yes
SRR11826866.10725,NC_045512,yes
SRR11826866.10769,NC_045512,yes
SRR11826866.10829,NC_045512,yes
SRR11826866.10889,NC_045512,yes
SRR11826866.10914,NC_045512,yes
SRR11826866.10951,NC_045512,yes
SRR11826866.10992,NC_045512,yes
SRR11826866.11002,NC_045512,yes
SRR11826866.11015,NC_045512,yes
SRR11826866.11030,NC_045512,yes
SRR11826866.11048,NC_045512,yes
SRR11826866.11079,NC_045512,yes
SRR11826866.11082,NC_045512,yes
SRR11826866.11115,NC_045512,yes
SRR11826866.11187,NC_045512,yes
SRR11826866.11193,NC_045512,yes
SRR11826866.11211,NC_045512,yes
SRR11826866.11312,NC_045512,yes
SRR11826866.11347,NC_045512,yes
SRR11826866.11392,NC_045512,yes
SRR11826866.11410,NC_045512,yes
SRR11826866.11437,NC_045512,yes
SRR11826866.11459,NC_045512,yes
SRR11826866.11488,NC_045512,yes
SRR11826866.11494,NC_045512,yes
SRR11826866.11513,NC_045512,yes
SRR11826866.11520,NC_045512,yes
SRR11826866.11565,NC_045512,yes
SRR11826866.11586,NC_045512,yes
SRR11826866.11619,NC_045512,yes
SRR11826866.11666,NC_045512,yes
SRR11826866.11708,NC_045512,yes
SRR11826866.11744,NC_045512,yes
SRR11826866.11748,NC_045512,yes
SRR11826866.11770,NC_045512,yes
SRR11826866.11789,NC_045512,yes
SRR11826866.11818,NC_045512,yes
SRR11826866.11830,NC_045512,yes
SRR11826866.11837,NC_045512,yes
SRR11826866.11840,NC_045512,yes
SRR11826866.11867,NC_045512,yes
SRR11826866.11870,NC_045512,yes
SRR11826866.11920,NC_045512,yes
SRR11826866.11976,NC_045512,yes
SRR11826866.11981,NC_045512,yes
SRR11826866.11991,NC_045512,yes
SRR11826866.12015,NC_045512,yes
SRR11826866.12033,NC_045512,yes
SRR11826866.12044,NC_045512,yes
SRR11826866.12062,NC_045512,yes
SRR11826866.12098,NC_045512,yes
SRR11826866.12134,NC_045512,yes
SRR11826866.12138,NC_045512,yes
SRR11826866.12188,NC_045512,yes
SRR11826866.12248,NC_045512,yes
SRR11826866.12296,NC_045512,yes
SRR11826866.12399,NC_045512,yes
SRR11826866.12459,NC_045512,yes
SRR11826866.12483,NC_045512,yes
SRR11826866.12487,NC_045512,yes
SRR11826866.12572,NC_045512,yes
SRR11826866.12578,NC_045512,yes
SRR11826866.12580,NC_045512,yes
SRR11826866.12588,NC_045512,yes
SRR11826866.12589,NC_045512,yes
SRR11826866.12601,NC_045512,yes
SRR11826866.12612,NC_045512,yes
SRR11826866.12625,NC_045512,yes
SRR11826866.12637,NC_045512,yes
SRR11826866.12671,NC_045512,yes
SRR11826866.12708,NC_045512,yes
SRR11826866.12722,NC_045512,yes
SRR11826866.12744,NC_045512,yes
SRR11826866.12745,NC_045512,yes
SRR11826866.12822,NC_045512,yes
SRR11826866.12839,NC_045512,yes
SRR11826866.12842,NC_045512,yes
SRR11826866.12845,NC_045512,yes
SRR11826866.12874,NC_045512,yes
SRR11826866.12890,NC_045512,yes
SRR11826866.12894,NC_045512,yes
SRR11826866.12901,NC_045512,yes
SRR11826866.12914,NC_045512,yes
SRR11826866.12933,NC_045512,yes
SRR11826866.12982,NC_045512,yes
SRR11826866.12997,NC_045512,yes
SRR11826866.13101,NC_045512,yes
SRR11826866.13126,NC_045512,yes
SRR11826866.13203,NC_045512,yes
SRR11826866.13207,NC_045512,yes
SRR11826866.13284,NC_045512,yes
SRR11826866.13318,NC_045512,yes
SRR11826866.13333,NC_045512,yes
SRR11826866.13353,NC_045512,yes
SRR11826866.13367,NC_045512,yes
SRR11826866.13386,NC_045512,yes
SRR11826866.13420,NC_045512,yes
SRR11826866.13435,NC_045512,yes
SRR11826866.13517,NC_045512,yes
SRR11826866.13546,NC_045512,yes
SRR11826866.13553,NC_045512,yes
SRR11826866.13578,NC_045512,yes
SRR11826866.13583,NC_045512,yes
SRR11826866.13589,NC_045512,yes
SRR11826866.13677,NC_045512,yes
SRR11826866.13716,NC_045512,yes
SRR11826866.13717,NC_045512,yes
SRR11826866.13724,NC_045512,yes
SRR11826866.13732,NC_045512,yes
SRR11826866.13785,NC_045512,yes
SRR11826866.13787,NC_045512,yes
SRR11826866.13858,NC_045512,yes
SRR11826866.13886,NC_045512,yes
SRR11826866.13897,NC_045512,yes
SRR11826866.13900,NC_045512,yes
SRR11826866.13926,NC_045512,yes
SRR11826866.13928,NC_045512,yes
SRR11826866.13939,NC_045512,yes
SRR11826866.13965,NC_045512,yes
SRR11826866.14028,NC_045512,yes
SRR11826866.14038,NC_045512,yes
SRR11826866.14043,NC_045512,yes
