	,name,taxRank,taxID,environment,sampleID,mappingTool
29	29,Bifidobacterium longum,species,216816,gut,mga0kv36,centrifuge
30	30,Bacteroides cellulosilyticus,species,246787,gut,mga0kv36,centrifuge
31	31,Bacteroides helcogenes,species,290053,gut,mga0kv36,centrifuge
32	32,Flavonifractor plautii,species,292800,gut,mga0kv36,centrifuge
33	33,Roseburia hominis,species,301301,gut,mga0kv36,centrifuge
34	34,Bacteroides dorei,species,357276,gut,mga0kv36,centrifuge
35	35,Bacteroides salanitronis,species,376805,gut,mga0kv36,centrifuge
36	36,Barnesiella viscericola,species,397865,gut,mga0kv36,centrifuge
37	37,Bifidobacterium kashiwanohense,species,630129,gut,mga0kv36,centrifuge
38	38,Anaerostipes hadrus,species,649756,gut,mga0kv36,centrifuge
39	39,Clostridium sp. SY8519,species,1042156,gut,mga0kv36,centrifuge
40	40,Prevotella jejuni,species,1177574,gut,mga0kv36,centrifuge
41	41,Intestinimonas butyriciproducens,species,1297617,gut,mga0kv36,centrifuge
42	42,Chryseobacterium gallinarum,species,1324352,gut,mga0kv36,centrifuge
43	43,Bacteroides caecimuris,species,1796613,gut,mga0kv36,centrifuge
44	44,Blautia sp. YL58,species,1796616,gut,mga0kv36,centrifuge
45	45,Christensenella massiliensis,species,1805714,gut,mga0kv36,centrifuge
46	46,Lachnoclostridium sp. YL32,species,1834196,gut,mga0kv36,centrifuge
47	47,Burkholderiales bacterium YL45,species,1834205,gut,mga0kv36,centrifuge
48	48,Erysipelotrichaceae bacterium I46,species,1834207,gut,mga0kv36,centrifuge
49	49,Lachnoclostridium phocaeense,species,1871021,gut,mga0kv36,centrifuge
50	50,Parabacteroides sp. CT06,species,2025876,gut,mga0kv36,centrifuge
51	51,Mordavella sp. Marseille-P3756,species,2086584,gut,mga0kv36,centrifuge
0	0,Bacteroides,genus,816,gut,mga0zg81,centrifuge
0	0,Bifidobacteriaceae,family,31953,gut,mga0ke75,centrifuge
1	1,Campylobacteraceae,family,72294,gut,mga0ke75,centrifuge
2	2,Eggerthellaceae,family,1643826,gut,mga0ke75,centrifuge
0	0,Clostridiales,order,186802,gut,mga02294,centrifuge
1	1,Lactobacillales,order,186826,gut,mga02294,centrifuge
0	0,Treponema succinifaciens,species,167,gut,mga0md79,centrifuge
1	1,Campylobacter coli,species,195,gut,mga0md79,centrifuge
2	2,Pseudomonas fluorescens,species,294,gut,mga0md79,centrifuge
3	3,Enterobacter cloacae,species,550,gut,mga0md79,centrifuge
4	4,Escherichia coli,species,562,gut,mga0md79,centrifuge
5	5,Bacteroides fragilis,species,817,gut,mga0md79,centrifuge
6	6,Bacteroides thetaiotaomicron,species,818,gut,mga0md79,centrifuge
7	7,Bacteroides vulgatus,species,821,gut,mga0md79,centrifuge
8	8,Parabacteroides distasonis,species,823,gut,mga0md79,centrifuge
9	9,Porphyromonas gingivalis,species,837,gut,mga0md79,centrifuge
10	10,Prevotella ruminicola,species,839,gut,mga0md79,centrifuge
11	11,Faecalibacterium prausnitzii,species,853,gut,mga0md79,centrifuge
12	12,Ruminococcus albus,species,1264,gut,mga0md79,centrifuge
13	13,Streptococcus suis,species,1307,gut,mga0md79,centrifuge
14	14,Streptococcus agalactiae,species,1311,gut,mga0md79,centrifuge
15	15,Blautia hansenii,species,1322,gut,mga0md79,centrifuge
16	16,Streptococcus anginosus,species,1328,gut,mga0md79,centrifuge
17	17,Enterococcus faecium,species,1352,gut,mga0md79,centrifuge
18	18,Bacillus cereus,species,1396,gut,mga0md79,centrifuge
19	19,Clostridium botulinum,species,1491,gut,mga0md79,centrifuge
20	20,Clostridioides difficile,species,1496,gut,mga0md79,centrifuge
21	21,Bifidobacterium adolescentis,species,1680,gut,mga0md79,centrifuge
22	22,Bifidobacterium bifidum,species,1681,gut,mga0md79,centrifuge
23	23,Bifidobacterium breve,species,1685,gut,mga0md79,centrifuge
24	24,Eubacterium limosum,species,1736,gut,mga0md79,centrifuge
25	25,Bifidobacterium pseudocatenulatum,species,28026,gut,mga0md79,centrifuge
26	26,Tannerella forsythia,species,28112,gut,mga0md79,centrifuge
27	27,Bacteroides heparinolyticus,species,28113,gut,mga0md79,centrifuge
28	28,Bacteroides ovatus,species,28116,gut,mga0md79,centrifuge
29	29,Odoribacter splanchnicus,species,28118,gut,mga0md79,centrifuge
30	30,Bacteroides zoogleoformans,species,28119,gut,mga0md79,centrifuge
31	31,Prevotella denticola,species,28129,gut,mga0md79,centrifuge
32	32,Prevotella intermedia,species,28131,gut,mga0md79,centrifuge
33	33,Ornithobacterium rhinotracheale,species,28251,gut,mga0md79,centrifuge
34	34,Anaerotignum propionicum,species,28446,gut,mga0md79,centrifuge
35	35,[Eubacterium] eligens,species,39485,gut,mga0md79,centrifuge
36	36,[Eubacterium] hallii,species,39488,gut,mga0md79,centrifuge
37	37,[Eubacterium] rectale,species,39491,gut,mga0md79,centrifuge
38	38,Dialister pneumosintes,species,39950,gut,mga0md79,centrifuge
39	39,Butyrivibrio proteoclasticus,species,43305,gut,mga0md79,centrifuge
40	40,Bacteroides caccae,species,47678,gut,mga0md79,centrifuge
41	41,Prevotella dentalis,species,52227,gut,mga0md79,centrifuge
42	42,Lachnoclostridium phytofermentans,species,66219,gut,mga0md79,centrifuge
43	43,Collinsella aerofaciens,species,74426,gut,mga0md79,centrifuge
44	44,[Clostridium] saccharolyticum,species,84030,gut,mga0md79,centrifuge
45	45,Enterobacter hormaechei,species,158836,gut,mga0md79,centrifuge
46	46,Butyrivibrio hungatei,species,185008,gut,mga0md79,centrifuge
47	47,Acidaminococcus intestini,species,187327,gut,mga0md79,centrifuge
48	48,[Clostridium] bolteae,species,208479,gut,mga0md79,centrifuge
49	49,Alistipes finegoldii,species,214856,gut,mga0md79,centrifuge
50	50,Bifidobacterium longum,species,216816,gut,mga0md79,centrifuge
51	51,Bacteroides cellulosilyticus,species,246787,gut,mga0md79,centrifuge
52	52,Ethanoligenens harbinense,species,253239,gut,mga0md79,centrifuge
53	53,Bacteroides helcogenes,species,290053,gut,mga0md79,centrifuge
54	54,Flavonifractor plautii,species,292800,gut,mga0md79,centrifuge
55	55,Roseburia hominis,species,301301,gut,mga0md79,centrifuge
56	56,Oscillibacter valericigenes,species,351091,gut,mga0md79,centrifuge
57	57,Bacteroides dorei,species,357276,gut,mga0md79,centrifuge
58	58,Bacteroides salanitronis,species,376805,gut,mga0md79,centrifuge
59	59,Barnesiella viscericola,species,397865,gut,mga0md79,centrifuge
60	60,Prevotella fusca,species,589436,gut,mga0md79,centrifuge
61	61,Bifidobacterium kashiwanohense,species,630129,gut,mga0md79,centrifuge
62	62,Anaerostipes hadrus,species,649756,gut,mga0md79,centrifuge
63	63,Tannerella sp. oral taxon HOT-286,species,712710,gut,mga0md79,centrifuge
64	64,Lachnospiraceae bacterium oral taxon 500,species,712991,gut,mga0md79,centrifuge
65	65,Clostridium sp. SY8519,species,1042156,gut,mga0md79,centrifuge
66	66,Ruminococcus bicirculans,species,1160721,gut,mga0md79,centrifuge
67	67,Intestinimonas butyriciproducens,species,1297617,gut,mga0md79,centrifuge
68	68,Ruminococcaceae bacterium CPB6,species,1572656,gut,mga0md79,centrifuge
69	69,Petrimonas mucosa,species,1642646,gut,mga0md79,centrifuge
70	70,Proteiniphilum saccharofermentans,species,1642647,gut,mga0md79,centrifuge
71	71,Bacteroides caecimuris,species,1796613,gut,mga0md79,centrifuge
72	72,Blautia sp. YL58,species,1796616,gut,mga0md79,centrifuge
73	73,Lachnoclostridium sp. YL32,species,1834196,gut,mga0md79,centrifuge
74	74,Ruminiclostridium sp. KB18,species,1834198,gut,mga0md79,centrifuge
75	75,Parabacteroides sp. YL27,species,1834200,gut,mga0md79,centrifuge
76	76,Erysipelotrichaceae bacterium I46,species,1834207,gut,mga0md79,centrifuge
77	77,Lachnoclostridium phocaeense,species,1871021,gut,mga0md79,centrifuge
78	78,Parabacteroides sp. CT06,species,2025876,gut,mga0md79,centrifuge
79	79,Mordavella sp. Marseille-P3756,species,2086584,gut,mga0md79,centrifuge
0	0,Actinobacteria,class,1760,gut,mga00f53,centrifuge
0	0,Campylobacter coli,species,195,gut,mga0jt38,centrifuge
1	1,Campylobacter jejuni,species,197,gut,mga0jt38,centrifuge
2	2,Pseudomonas aeruginosa,species,287,gut,mga0jt38,centrifuge
3	3,Pseudomonas fluorescens,species,294,gut,mga0jt38,centrifuge
4	4,Pseudomonas putida,species,303,gut,mga0jt38,centrifuge
5	5,Pseudomonas stutzeri,species,316,gut,mga0jt38,centrifuge
6	6,Citrobacter freundii,species,546,gut,mga0jt38,centrifuge
7	7,Enterobacter cloacae,species,550,gut,mga0jt38,centrifuge
8	8,Escherichia coli,species,562,gut,mga0jt38,centrifuge
9	9,Klebsiella oxytoca,species,571,gut,mga0jt38,centrifuge
10	10,Klebsiella pneumoniae,species,573,gut,mga0jt38,centrifuge
11	11,Serratia marcescens,species,615,gut,mga0jt38,centrifuge
12	12,Shigella dysenteriae,species,622,gut,mga0jt38,centrifuge
13	13,Aeromonas hydrophila,species,644,gut,mga0jt38,centrifuge
14	14,Bacteroides fragilis,species,817,gut,mga0jt38,centrifuge
15	15,Bacteroides thetaiotaomicron,species,818,gut,mga0jt38,centrifuge
16	16,Bacteroides vulgatus,species,821,gut,mga0jt38,centrifuge
17	17,Parabacteroides distasonis,species,823,gut,mga0jt38,centrifuge
18	18,Porphyromonas gingivalis,species,837,gut,mga0jt38,centrifuge
19	19,Prevotella ruminicola,species,839,gut,mga0jt38,centrifuge
20	20,Faecalibacterium prausnitzii,species,853,gut,mga0jt38,centrifuge
21	21,Desulfovibrio vulgaris,species,881,gut,mga0jt38,centrifuge
22	22,Acidaminococcus fermentans,species,905,gut,mga0jt38,centrifuge
23	23,Megasphaera elsdenii,species,907,gut,mga0jt38,centrifuge
24	24,Selenomonas ruminantium,species,971,gut,mga0jt38,centrifuge
25	25,Rhodopseudomonas palustris,species,1076,gut,mga0jt38,centrifuge
26	26,Ruminococcus albus,species,1264,gut,mga0jt38,centrifuge
27	27,Streptococcus suis,species,1307,gut,mga0jt38,centrifuge
28	28,Blautia hansenii,species,1322,gut,mga0jt38,centrifuge
29	29,Streptococcus anginosus,species,1328,gut,mga0jt38,centrifuge
30	30,Enterococcus faecium,species,1352,gut,mga0jt38,centrifuge
31	31,Bacillus cereus,species,1396,gut,mga0jt38,centrifuge
32	32,Clostridium botulinum,species,1491,gut,mga0jt38,centrifuge
33	33,Clostridioides difficile,species,1496,gut,mga0jt38,centrifuge
34	34,Clostridium perfringens,species,1502,gut,mga0jt38,centrifuge
35	35,Bifidobacterium bifidum,species,1681,gut,mga0jt38,centrifuge
36	36,Bifidobacterium breve,species,1685,gut,mga0jt38,centrifuge
37	37,Eubacterium limosum,species,1736,gut,mga0jt38,centrifuge
38	38,Tannerella forsythia,species,28112,gut,mga0jt38,centrifuge
39	39,Bacteroides heparinolyticus,species,28113,gut,mga0jt38,centrifuge
40	40,Bacteroides ovatus,species,28116,gut,mga0jt38,centrifuge
41	41,Odoribacter splanchnicus,species,28118,gut,mga0jt38,centrifuge
42	42,Bacteroides zoogleoformans,species,28119,gut,mga0jt38,centrifuge
43	43,Prevotella denticola,species,28129,gut,mga0jt38,centrifuge
44	44,Prevotella intermedia,species,28131,gut,mga0jt38,centrifuge
45	45,Prevotella melaninogenica,species,28132,gut,mga0jt38,centrifuge
46	46,Ornithobacterium rhinotracheale,species,28251,gut,mga0jt38,centrifuge
47	47,Salmonella enterica,species,28901,gut,mga0jt38,centrifuge
48	48,[Eubacterium] eligens,species,39485,gut,mga0jt38,centrifuge
49	49,[Eubacterium] hallii,species,39488,gut,mga0jt38,centrifuge
50	50,[Eubacterium] rectale,species,39491,gut,mga0jt38,centrifuge
51	51,Dialister pneumosintes,species,39950,gut,mga0jt38,centrifuge
52	52,Stenotrophomonas maltophilia,species,40324,gut,mga0jt38,centrifuge
53	53,Butyrivibrio proteoclasticus,species,43305,gut,mga0jt38,centrifuge
54	54,Bacteroides caccae,species,47678,gut,mga0jt38,centrifuge
55	55,Prevotella dentalis,species,52227,gut,mga0jt38,centrifuge
56	56,Collinsella aerofaciens,species,74426,gut,mga0jt38,centrifuge
57	57,Prevotella enoeca,species,76123,gut,mga0jt38,centrifuge
58	58,Myroides odoratimimus,species,76832,gut,mga0jt38,centrifuge
59	59,Streptococcus constellatus,species,76860,gut,mga0jt38,centrifuge
60	60,[Clostridium] saccharolyticum,species,84030,gut,mga0jt38,centrifuge
61	61,Eggerthella lenta,species,84112,gut,mga0jt38,centrifuge
62	62,Achromobacter xylosoxidans,species,85698,gut,mga0jt38,centrifuge
63	63,Butyrivibrio hungatei,species,185008,gut,mga0jt38,centrifuge
64	64,Acidaminococcus intestini,species,187327,gut,mga0jt38,centrifuge
65	65,[Clostridium] bolteae,species,208479,gut,mga0jt38,centrifuge
66	66,Alistipes finegoldii,species,214856,gut,mga0jt38,centrifuge
67	67,Bifidobacterium longum,species,216816,gut,mga0jt38,centrifuge
68	68,Bacteroides cellulosilyticus,species,246787,gut,mga0jt38,centrifuge
69	69,Ethanoligenens harbinense,species,253239,gut,mga0jt38,centrifuge
70	70,Bacteroides helcogenes,species,290053,gut,mga0jt38,centrifuge
71	71,Flavonifractor plautii,species,292800,gut,mga0jt38,centrifuge
72	72,Roseburia hominis,species,301301,gut,mga0jt38,centrifuge
73	73,Capnocytophaga leadbetteri,species,327575,gut,mga0jt38,centrifuge
74	74,Oscillibacter valericigenes,species,351091,gut,mga0jt38,centrifuge
75	75,Bacteroides dorei,species,357276,gut,mga0jt38,centrifuge
76	76,Bacteroides salanitronis,species,376805,gut,mga0jt38,centrifuge
77	77,Barnesiella viscericola,species,397865,gut,mga0jt38,centrifuge
78	78,Prevotella fusca,species,589436,gut,mga0jt38,centrifuge
79	79,Anaerostipes hadrus,species,649756,gut,mga0jt38,centrifuge
80	80,Tannerella sp. oral taxon HOT-286,species,712710,gut,mga0jt38,centrifuge
81	81,Lachnospiraceae bacterium oral taxon 500,species,712991,gut,mga0jt38,centrifuge
82	82,Clostridium sp. SY8519,species,1042156,gut,mga0jt38,centrifuge
83	83,Ruminococcus bicirculans,species,1160721,gut,mga0jt38,centrifuge
84	84,Prevotella jejuni,species,1177574,gut,mga0jt38,centrifuge
85	85,Intestinimonas butyriciproducens,species,1297617,gut,mga0jt38,centrifuge
86	86,Capnocytophaga sp. oral taxon 878,species,1316596,gut,mga0jt38,centrifuge
87	87,Chryseobacterium gallinarum,species,1324352,gut,mga0jt38,centrifuge
88	88,Gordonibacter urolithinfaciens,species,1335613,gut,mga0jt38,centrifuge
89	89,Ruminococcaceae bacterium CPB6,species,1572656,gut,mga0jt38,centrifuge
90	90,Petrimonas mucosa,species,1642646,gut,mga0jt38,centrifuge
91	91,Proteiniphilum saccharofermentans,species,1642647,gut,mga0jt38,centrifuge
92	92,Faecalibaculum rodentium,species,1702221,gut,mga0jt38,centrifuge
93	93,Bacteroides caecimuris,species,1796613,gut,mga0jt38,centrifuge
94	94,Blautia sp. YL58,species,1796616,gut,mga0jt38,centrifuge
95	95,Christensenella massiliensis,species,1805714,gut,mga0jt38,centrifuge
96	96,Shigella sp. PAMC 28760,species,1813821,gut,mga0jt38,centrifuge
97	97,Lachnoclostridium sp. YL32,species,1834196,gut,mga0jt38,centrifuge
98	98,Ruminiclostridium sp. KB18,species,1834198,gut,mga0jt38,centrifuge
99	99,Parabacteroides sp. YL27,species,1834200,gut,mga0jt38,centrifuge
100	100,Burkholderiales bacterium YL45,species,1834205,gut,mga0jt38,centrifuge
101	101,Erysipelotrichaceae bacterium I46,species,1834207,gut,mga0jt38,centrifuge
102	102,Murdochiella vaginalis,species,1852373,gut,mga0jt38,centrifuge
103	103,Lachnoclostridium phocaeense,species,1871021,gut,mga0jt38,centrifuge
104	104,Parabacteroides sp. CT06,species,2025876,gut,mga0jt38,centrifuge
105	105,Citrobacter freundii complex sp. CFNIH4,species,2077148,gut,mga0jt38,centrifuge
106	106,Citrobacter freundii complex sp. CFNIH9,species,2077149,gut,mga0jt38,centrifuge
107	107,Mordavella sp. Marseille-P3756,species,2086584,gut,mga0jt38,centrifuge
0	0,Myxococcus fulvus,species,33,gut,mga0aq39,centrifuge
1	1,Sorangium cellulosum,species,56,gut,mga0aq39,centrifuge
2	2,Treponema succinifaciens,species,167,gut,mga0aq39,centrifuge
3	3,Azospirillum brasilense,species,192,gut,mga0aq39,centrifuge
4	4,Azospirillum lipoferum,species,193,gut,mga0aq39,centrifuge
5	5,Campylobacter coli,species,195,gut,mga0aq39,centrifuge
6	6,Campylobacter jejuni,species,197,gut,mga0aq39,centrifuge
7	7,Pseudomonas aeruginosa,species,287,gut,mga0aq39,centrifuge
8	8,Burkholderia cepacia,species,292,gut,mga0aq39,centrifuge
9	9,Pseudomonas fluorescens,species,294,gut,mga0aq39,centrifuge
10	10,Pseudomonas mendocina,species,300,gut,mga0aq39,centrifuge
11	11,Pseudomonas putida,species,303,gut,mga0aq39,centrifuge
12	12,Ralstonia solanacearum,species,305,gut,mga0aq39,centrifuge
13	13,Pseudomonas stutzeri,species,316,gut,mga0aq39,centrifuge
14	14,Pseudomonas syringae,species,317,gut,mga0aq39,centrifuge
15	15,Agrobacterium tumefaciens,species,358,gut,mga0aq39,centrifuge
16	16,Rhizobium leguminosarum,species,384,gut,mga0aq39,centrifuge
17	17,Methylobacterium extorquens,species,408,gut,mga0aq39,centrifuge
18	18,Enterobacter cloacae,species,550,gut,mga0aq39,centrifuge
19	19,Escherichia coli,species,562,gut,mga0aq39,centrifuge
20	20,Klebsiella oxytoca,species,571,gut,mga0aq39,centrifuge
21	21,Klebsiella pneumoniae,species,573,gut,mga0aq39,centrifuge
22	22,Serratia marcescens,species,615,gut,mga0aq39,centrifuge
23	23,Aeromonas hydrophila,species,644,gut,mga0aq39,centrifuge
24	24,Bacteroides fragilis,species,817,gut,mga0aq39,centrifuge
25	25,Bacteroides thetaiotaomicron,species,818,gut,mga0aq39,centrifuge
26	26,Bacteroides vulgatus,species,821,gut,mga0aq39,centrifuge
27	27,Parabacteroides distasonis,species,823,gut,mga0aq39,centrifuge
28	28,Porphyromonas gingivalis,species,837,gut,mga0aq39,centrifuge
29	29,Prevotella ruminicola,species,839,gut,mga0aq39,centrifuge
30	30,Oxalobacter formigenes,species,847,gut,mga0aq39,centrifuge
31	31,Fusobacterium nucleatum,species,851,gut,mga0aq39,centrifuge
32	32,Faecalibacterium prausnitzii,species,853,gut,mga0aq39,centrifuge
33	33,Desulfovibrio desulfuricans,species,876,gut,mga0aq39,centrifuge
34	34,Desulfovibrio vulgaris,species,881,gut,mga0aq39,centrifuge
35	35,Desulfovibrio piger,species,901,gut,mga0aq39,centrifuge
36	36,Acidaminococcus fermentans,species,905,gut,mga0aq39,centrifuge
37	37,Megasphaera elsdenii,species,907,gut,mga0aq39,centrifuge
38	38,Selenomonas ruminantium,species,971,gut,mga0aq39,centrifuge
39	39,Rhodopseudomonas palustris,species,1076,gut,mga0aq39,centrifuge
40	40,Ruminococcus albus,species,1264,gut,mga0aq39,centrifuge
41	41,Streptococcus salivarius,species,1304,gut,mga0aq39,centrifuge
42	42,Streptococcus suis,species,1307,gut,mga0aq39,centrifuge
43	43,Streptococcus thermophilus,species,1308,gut,mga0aq39,centrifuge
44	44,Streptococcus agalactiae,species,1311,gut,mga0aq39,centrifuge
45	45,Blautia hansenii,species,1322,gut,mga0aq39,centrifuge
46	46,Streptococcus anginosus,species,1328,gut,mga0aq39,centrifuge
47	47,Streptococcus equinus,species,1335,gut,mga0aq39,centrifuge
48	48,Enterococcus faecalis,species,1351,gut,mga0aq39,centrifuge
49	49,Enterococcus faecium,species,1352,gut,mga0aq39,centrifuge
50	50,Bacillus cereus,species,1396,gut,mga0aq39,centrifuge
51	51,Paenibacillus polymyxa,species,1406,gut,mga0aq39,centrifuge
52	52,Bacillus subtilis,species,1423,gut,mga0aq39,centrifuge
53	53,Bacillus thuringiensis,species,1428,gut,mga0aq39,centrifuge
54	54,Clostridium botulinum,species,1491,gut,mga0aq39,centrifuge
55	55,Clostridium butyricum,species,1492,gut,mga0aq39,centrifuge
56	56,Clostridioides difficile,species,1496,gut,mga0aq39,centrifuge
57	57,Clostridium pasteurianum,species,1501,gut,mga0aq39,centrifuge
58	58,Clostridium perfringens,species,1502,gut,mga0aq39,centrifuge
59	59,Clostridium beijerinckii,species,1520,gut,mga0aq39,centrifuge
60	60,[Clostridium] cellulolyticum,species,1521,gut,mga0aq39,centrifuge
61	61,Clostridium baratii,species,1561,gut,mga0aq39,centrifuge
62	62,Lactobacillus amylovorus,species,1604,gut,mga0aq39,centrifuge
63	63,Bifidobacterium adolescentis,species,1680,gut,mga0aq39,centrifuge
64	64,Bifidobacterium bifidum,species,1681,gut,mga0aq39,centrifuge
65	65,Bifidobacterium angulatum,species,1683,gut,mga0aq39,centrifuge
66	66,Bifidobacterium breve,species,1685,gut,mga0aq39,centrifuge
67	67,Bifidobacterium catenulatum,species,1686,gut,mga0aq39,centrifuge
68	68,Bifidobacterium dentium,species,1689,gut,mga0aq39,centrifuge
69	69,Eubacterium limosum,species,1736,gut,mga0aq39,centrifuge
70	70,Streptomyces hygroscopicus,species,1912,gut,mga0aq39,centrifuge
71	71,Symbiobacterium thermophilum,species,2734,gut,mga0aq39,centrifuge
72	72,Bifidobacterium pseudocatenulatum,species,28026,gut,mga0aq39,centrifuge
73	73,Streptococcus mitis,species,28037,gut,mga0aq39,centrifuge
74	74,Tannerella forsythia,species,28112,gut,mga0aq39,centrifuge
75	75,Bacteroides heparinolyticus,species,28113,gut,mga0aq39,centrifuge
76	76,Bacteroides ovatus,species,28116,gut,mga0aq39,centrifuge
77	77,Odoribacter splanchnicus,species,28118,gut,mga0aq39,centrifuge
78	78,Bacteroides zoogleoformans,species,28119,gut,mga0aq39,centrifuge
79	79,Prevotella intermedia,species,28131,gut,mga0aq39,centrifuge
80	80,Ornithobacterium rhinotracheale,species,28251,gut,mga0aq39,centrifuge
81	81,Anaerotignum propionicum,species,28446,gut,mga0aq39,centrifuge
82	82,Salmonella enterica,species,28901,gut,mga0aq39,centrifuge
83	83,[Clostridium] cellulosi,species,29343,gut,mga0aq39,centrifuge
84	84,Cellulosilyticum lentocellum,species,29360,gut,mga0aq39,centrifuge
85	85,Achromobacter denitrificans,species,32002,gut,mga0aq39,centrifuge
86	86,Bifidobacterium thermophilum,species,33905,gut,mga0aq39,centrifuge
87	87,Lactobacillus johnsonii,species,33959,gut,mga0aq39,centrifuge
88	88,Variovorax paradoxus,species,34073,gut,mga0aq39,centrifuge
89	89,[Eubacterium] eligens,species,39485,gut,mga0aq39,centrifuge
90	90,[Eubacterium] hallii,species,39488,gut,mga0aq39,centrifuge
91	91,[Eubacterium] rectale,species,39491,gut,mga0aq39,centrifuge
92	92,Stenotrophomonas maltophilia,species,40324,gut,mga0aq39,centrifuge
93	93,Butyrivibrio proteoclasticus,species,43305,gut,mga0aq39,centrifuge
94	94,Rothia mucilaginosa,species,43675,gut,mga0aq39,centrifuge
95	95,Desulfovibrio fairfieldensis,species,44742,gut,mga0aq39,centrifuge
96	96,Bacteroides caccae,species,47678,gut,mga0aq39,centrifuge
97	97,Streptomyces lydicus,species,47763,gut,mga0aq39,centrifuge
98	98,Prevotella dentalis,species,52227,gut,mga0aq39,centrifuge
99	99,Paenibacillus mucilaginosus,species,61624,gut,mga0aq39,centrifuge
100	100,Lachnoclostridium phytofermentans,species,66219,gut,mga0aq39,centrifuge
101	101,Selenomonas sputigena,species,69823,gut,mga0aq39,centrifuge
102	102,Collinsella aerofaciens,species,74426,gut,mga0aq39,centrifuge
103	103,Streptococcus constellatus,species,76860,gut,mga0aq39,centrifuge
104	104,[Clostridium] saccharolyticum,species,84030,gut,mga0aq39,centrifuge
105	105,Slackia heliotrinireducens,species,84110,gut,mga0aq39,centrifuge
106	106,Eggerthella lenta,species,84112,gut,mga0aq39,centrifuge
107	107,Achromobacter xylosoxidans,species,85698,gut,mga0aq39,centrifuge
108	108,Burkholderia cenocepacia,species,95486,gut,mga0aq39,centrifuge
109	109,Streptococcus infantarius,species,102684,gut,mga0aq39,centrifuge
110	110,Olsenella uli,species,133926,gut,mga0aq39,centrifuge
111	111,Streptococcus lutetiensis,species,150055,gut,mga0aq39,centrifuge
112	112,Bifidobacterium scardovii,species,158787,gut,mga0aq39,centrifuge
113	113,Butyrivibrio hungatei,species,185008,gut,mga0aq39,centrifuge
114	114,Acidaminococcus intestini,species,187327,gut,mga0aq39,centrifuge
115	115,Streptococcus pasteurianus,species,197614,gut,mga0aq39,centrifuge
116	116,[Clostridium] bolteae,species,208479,gut,mga0aq39,centrifuge
117	117,Alistipes finegoldii,species,214856,gut,mga0aq39,centrifuge
118	118,Bifidobacterium longum,species,216816,gut,mga0aq39,centrifuge
119	119,Bacteroides cellulosilyticus,species,246787,gut,mga0aq39,centrifuge
120	120,Ethanoligenens harbinense,species,253239,gut,mga0aq39,centrifuge
121	121,Bacteroides helcogenes,species,290053,gut,mga0aq39,centrifuge
122	122,Flavonifractor plautii,species,292800,gut,mga0aq39,centrifuge
