name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Haloferax gibbonsii	35746	species	3918454	809	550	0.0
Corynebacterium kutscheri	35755	species	2354065	100	80	0.0
Corynebacterium cystitidis	35757	species	3011567	255	210	0.0
Bifidobacterium choerinum	35760	species	2257294	297	208	0.0
Coprothermobacter proteolyticus	35786	species	1424912	225	144	0.0
Rickettsia africae	35788	species	1290917	22	5	0.0
Rickettsia japonica	35790	species	7703211	40	12	0.0
Rickettsia massiliae	35791	species	1376184	52	21	0.0
Rickettsia parkeri	35792	species	1300386	35	23	0.0
Rickettsia slovaca	35794	species	1275404	11	3	0.0
Ehrlichia muris	35795	species	1196717	327	215	0.0
Nitrosospira briensis	35799	species	3210113	125	108	0.0
Rhodovulum sulfidophilum	35806	species	6638597	1545	675	0.0
Bordetella holmesii	35814	species	9606067	299	233	0.0
Clostridium saccharoperbutylacetonicum	36745	species	6442919	1221	966	0.0
Pseudomonas cichorii	36746	species	5986012	182	124	0.0
Microbacterium aurum	36805	species	3424892	408	288	0.0
Mycobacterium abscessus	36809	species	16754693	1723	1217	0.0
Mycobacterium rhodesiae	36814	species	6415739	382	286	0.0
Desulfitobacterium	36853	genus	0	6	0	0.0
Desulfitobacterium dehalogenans	36854	species	4321753	167	142	0.0
Brucella canis	36855	species	8796108	46	9	0.0
Thiobacillus denitrificans	36861	species	2909809	244	166	0.0
Paraburkholderia xenovorans	36873	species	19434089	1022	706	2.01534e-05
Nocardia brasiliensis	37326	species	9185930	1505	996	0.0
Nocardia farcinica	37329	species	6376062	873	655	0.0
Nocardia nova	37330	species	8348532	729	518	0.0
Nocardia seriolae	37332	species	16426251	720	547	0.0
Helicobacter bilis	37372	species	2620399	201	157	0.0
Marichromatium purpuratum	37487	species	3779112	609	438	0.0
Thermus scotoductus	37636	species	2355186	146	103	0.0
Candidatus Phytoplasma mali	37692	species	601943	170	139	0.0
Enterococcus casseliflavus	37734	species	3427276	173	91	0.0
Dietzia	37914	genus	0	3	0	0.0
Rhodococcus opacus	37919	species	8880502	2768	1859	0.0
Sinomonas atrocyanea	37927	species	4492204	586	345	0.0
Arthrobacter crystallopoietes	37928	species	5032705	292	226	0.0
Methanosarcina siciliae	38027	species	5222724	381	338	0.0
Corynebacterium jeikeium	38289	species	2563850	234	178	0.0
Photobacterium damselae	38293	species	4418880	23306	22260	0.0
Streptomyces pristinaespiralis	38300	species	8532592	861	585	0.0
Corynebacterium vitaeruminis	38305	species	2931780	442	351	0.0
Pseudothermotoga elfii	38322	species	2169860	115	3	0.0
Bartonella henselae	38323	species	4836370	347	165	0.0
Blastococcus	38501	genus	0	5	0	0.0
Acholeplasma palmae	38986	species	1554229	258	193	0.0
Methanococcus maripaludis	39152	species	1738114	735	667	0.0
[Eubacterium] eligens	39485	species	2831389	269	169	0.0
[Eubacterium] hallii	39488	species	3515670	1356	1051	0.0
[Eubacterium] rectale	39491	species	3449685	217	158	0.0
Sorangium	39643	genus	0	11	0	0.0
Mesorhizobium ciceri	39645	species	6838036	844	339	0.0
Methanosalsum zhilinae	39669	species	2138444	106	90	0.0
Hydrogenovibrio crunogenus	39765	species	2427734	398	302	0.0
Sulfurimonas denitrificans	39766	species	2201561	344	274	0.0
Blattabacterium sp. (Mastotermes darwiniensis)	39768	species	590336	290	166	0.0
Blattabacteriaceae	39782	family	0	2	0	0.0
Dialister	39948	genus	0	2	0	0.0
Dialister pneumosintes	39950	species	1274073	151	94	0.0
Erythrobacter litoralis	39960	species	3151875	442	325	0.000297571
Oligotropha	40136	genus	0	8	0	0.0
Oligotropha carboxidovorans	40137	species	5740737	232	162	0.0
Acinetobacter johnsonii	40214	species	4081329	328	206	0.0
Acinetobacter junii	40215	species	6666364	615	414	0.0
Acinetobacter radioresistens	40216	species	3132860	250	160	0.0
Methylophaga	40222	genus	0	11	0	0.0
Aliivibrio salmonicida	40269	species	4655660	471	318	0.0
Stenotrophomonas	40323	genus	0	159	7	0.0
Stenotrophomonas maltophilia	40324	species	14196011	8356	4899	0.0
Leptotrichia buccalis	40542	species	2465610	336	261	0.0
Actinosynnema	40566	genus	0	11	0	0.0
Actinosynnema mirum	40567	species	8248144	1112	524	0.0
Xenorhabdus bovienii	40576	species	4523083	595	353	0.0
Xenorhabdus poinarii	40577	species	3659523	332	223	0.0
Thioploca	40751	genus	0	1	0	0.0
Thioploca ingrica	40754	species	4810005	409	304	0.0
Borrelia duttonii	40834	species	1574881	1030	430	0.0
Brevundimonas	41275	genus	0	50	0	0.0
Brevundimonas vesicularis	41276	species	3345527	259	150	0.0
Bradyrhizobiaceae	41294	family	0	70	0	0.0
Rhodospirillaceae	41295	family	0	88	0	0.0
Sphingomonadaceae	41297	family	0	107	0	0.0
Cyanothece sp. PCC 8801	41431	species	4787694	626	128	0.0
Burkholderia plantarii	41899	species	8081051	910	178	0.0
Actinosynnema pretiosum	42197	species	8131572	1360	705	0.0
Streptomyces sampsonii	42239	species	7070328	1006	653	0.0
Nitrospira moscoviensis	42253	species	4589485	322	257	0.0
Rubrobacter	42255	genus	0	1	0	0.0
Rubrobacter radiotolerans	42256	species	3267233	209	163	0.0
Halobacteroides halobius	42422	species	2649255	484	370	0.0
Roseobacter litoralis	42443	species	4745450	1794	1061	4.20732e-05
Marinovum algicola	42444	species	5252390	1228	739	9.86019e-05
Streptomyces collinus	42684	species	8377286	1402	761	0.0
Corynebacterium argentoratense	42817	species	2031902	234	204	0.0
Ammonifex degensii	42838	species	2157067	95	76	0.0
Rickettsia felis	42862	species	1587240	246	149	0.0
Methanococcus aeolicus	42879	species	1569500	187	134	0.0
Sulfolobus islandicus	43080	species	2654591	251	222	0.0
Pseudomonas alcaligenes	43263	species	4406305	407	248	0.0
Butyrivibrio proteoclasticus	43305	species	4404886	533	419	0.0
Kutzneria	43356	genus	0	7	0	0.0
Kutzneria albida	43357	species	9874926	864	669	0.0
Pseudoalteromonas luteoviolacea	43657	species	18666577	584	391	0.0
Pseudoalteromonas rubra	43658	species	5913780	355	277	0.0
Pseudoalteromonas tetraodonis	43659	species	4128400	533	36	0.000354995
Pseudoalteromonas piscicida	43662	species	5317048	328	191	0.0
Paenarthrobacter aurescens	43663	species	5226648	197	56	0.0
Brachybacterium	43668	genus	0	15	0	0.0
Brachybacterium faecium	43669	species	3614992	954	634	0.0
Jonesia denitrificans	43674	species	2769222	86	71	0.0
Rothia mucilaginosa	43675	species	3483044	218	159	0.0
Metallosphaera sedula	43687	species	6574588	40	36	0.0
Rhodococcus hoagii	43767	species	5240998	454	322	0.0
Corynebacterium striatum	43770	species	8823163	330	217	0.0
Corynebacterium urealyticum	43771	species	2354272	150	127	0.0
Tolumonas	43947	genus	0	8	0	0.0
Tolumonas auensis	43948	species	3471292	237	121	0.0
Cyanothece	43988	genus	0	47	0	0.0
Cyanothece sp. ATCC 51142	43989	species	5460377	983	592	0.0
Caldicellulosiruptor	44000	genus	0	37	11	0.0
Caldicellulosiruptor saccharolyticus	44001	species	2970275	292	218	0.0
Ferrimonas	44011	genus	0	3	0	0.0
Ferrimonas balearica	44012	species	4279159	301	247	0.0
Polynucleobacter	44013	genus	0	32	0	0.0
Paenibacillus	44249	genus	0	86	5	0.0
Paenibacillus durus	44251	species	5814491	842	705	0.0
Bradyrhizobium oligotrophicum	44255	species	8264165	718	472	0.0
Borrelia recurrentis	44449	species	1242163	336	103	0.0
Microcoleus	44471	genus	0	2	0	0.0
Pleurocapsa	44474	genus	0	20	0	0.0
Nitrosomonas communis	44574	species	4067838	351	265	0.0
Nitrosomonas ureae	44577	species	3307820	526	348	0.0
Sulfurospirillum barnesii	44674	species	2510109	196	122	0.0
Desulfovibrio fairfieldensis	44742	species	3699310	195	171	0.0
Natronobacterium gregoryi	44930	species	3788356	347	221	0.0
Legionella lansingensis	45067	species	2989256	334	251	0.0
Capnocytophaga haemolytica	45243	species	5376983	334	260	0.0
Mycoplasma bovoculi	45362	species	760240	398	329	0.0
Hyphomicrobiaceae	45401	family	0	14	0	0.0
Beijerinckiaceae	45404	family	0	4	0	0.0
Psychrobacter urativorans	45610	species	2931580	558	363	0.0
Streptococcus cristatus	45634	species	2142100	83	70	0.0
Vibrio scophthalmi	45658	species	9728927	877	700	0.0
Desulfohalobium retbaense	45663	species	2909567	95	63	0.0
Staphylococcus pasteuri	45972	species	2591084	1182	918	0.0
Staphylococcus felis	46127	species	2479423	198	153	0.0
Anabaena sp. 90	46234	species	5305675	707	389	0.0
Entomoplasma	46238	genus	0	6	0	0.0
Mesoplasma	46239	genus	0	41	0	0.0
Weissella	46255	genus	0	12	0	0.0
Pseudomonas avellanae	46257	species	6576340	215	5	0.0
Thermoanaerobacter wiegelii	46354	species	2785056	235	104	0.0
Spirochaeta africana	46355	species	3285855	296	237	0.0
Sphingobium chlorophenolicum	46429	species	4573221	282	174	0.0
Thermosipho melanesiensis	46541	species	1915291	247	194	0.0
Clostridium chauvoei	46867	species	4324842	509	409	0.0
Devosia	46913	genus	0	19	0	0.0
Leptolyngbya	47251	genus	0	89	0	0.0
Hydrogenophaga	47420	genus	0	10	0	0.0
Borrelia miyamotoi	47466	species	5048254	545	450	0.0
Rickettsia peacockii	47589	species	1314898	105	35	0.0
Bacteroides caccae	47678	species	4570803	190	127	0.0
Lactobacillus rhamnosus	47715	species	5561468	305	247	0.0
Bibersteinia trehalosi	47735	species	2411529	328	207	0.0
Streptomyces lydicus	47763	species	25752055	3396	2197	0.0
Spiroplasma kunkelii	47834	species	1514561	287	204	0.0
Micromonospora aurantiaca	47850	species	7025559	860	390	0.0
Pseudomonas amygdali	47877	species	6227599	357	134	0.0
Pseudomonas azotoformans	47878	species	13440913	894	367	0.0
Pseudomonas corrugata	47879	species	6124363	292	152	0.0
Pseudomonas fulva	47880	species	4892930	549	315	0.0
Pseudomonas oryzihabitans	47885	species	4834356	769	223	0.0
Serratia fonticola	47917	species	18051695	7328	436	0.0
Mycoplasma pullorum	48003	species	1007172	212	151	0.0
Microbulbifer	48073	genus	0	54	0	0.0
Marinobacterium	48075	genus	0	1	0	0.0
Acinetobacter pittii	48296	species	18362078	2480	1473	0.0
Verrucomicrobiales	48461	order	0	6	0	0.0
Xanthomonas fragariae	48664	species	21445839	2383	1627	0.0
Ralstonia	48736	genus	0	42	0	0.0
Novosphingobium aromaticivorans	48935	species	4233314	239	170	0.0
Candidatus Arthromitus	49082	genus	0	8	0	0.0
Candidatus Arthromitus sp. SFB-mouse	49118	species	1603201	291	15	0.0
Rubrobacter xylanophilus	49319	species	3225748	296	249	0.0
Desulfitobacterium hafniense	49338	species	5503334	215	170	0.0
Flavobacteriaceae	49546	family	0	510	269	0.0
Acetomicrobium	49894	genus	0	1	0	0.0
Thermococcus profundus	49899	species	2043143	46	41	0.0
Mycoplasma crocodyli	50052	species	934379	155	110	0.0
Thermoplasma volcanium	50339	species	1584804	60	56	0.0
Vibrio diabolicus	50719	species	15731576	546	185	0.0
Syntrophobotulus	51196	genus	0	1	0	0.0
Syntrophobotulus glycolicus	51197	species	3406739	130	110	0.0
Wigglesworthia	51228	genus	0	13	0	0.0
Wigglesworthia glossinidia	51229	species	711269	580	416	0.0
Chlamydiales	51291	order	0	6	0	0.0
Mycoplasma yeatsii	51365	species	895051	269	181	0.0
Dehalobacterium formicoaceticum	51515	species	3766545	335	260	0.0
Haloarcula hispanica	51589	species	3895750	191	27	0.0
Pediococcus damnosus	51663	species	11570178	163	129	0.0
Aerococcus urinaeequi	51665	species	4067667	135	68	0.0
Tetragenococcus halophilus	51669	species	3775653	333	249	0.0
Meiothermus silvanus	52022	species	3721669	168	129	0.0
Prevotella dentalis	52227	species	3350206	164	125	0.0
Lactobacillus gallinarum	52242	species	2374782	183	91	0.0
Vibrio tapetis	52443	species	5725871	874	634	0.0
Brachyspira pilosicoli	52584	species	2635825	639	525	0.0
Pleurocapsales	52604	order	0	3	0	0.0
Caldicellulosiruptor kristjanssonii	52765	species	2802443	243	90	0.0
Caldicellulosiruptor lactoaceticus	52766	species	2674809	193	62	0.0
Actinomyces meyeri	52773	species	2049088	174	128	0.0
Polaribacter	52959	genus	0	126	0	0.0
Polaromonas	52972	genus	0	6	0	0.0
Pseudoalteromonas	53246	genus	0	226	59	0.0
Pantoea	53335	genus	0	164	0	0.0
Tatumella citrea	53336	species	8982233	289	205	0.0
Enterococcus durans	53345	species	9132611	273	190	0.0
Enterococcus mundtii	53346	species	4935011	351	293	0.0
Intrasporangium	53357	genus	0	2	0	0.0
Intrasporangium calvum	53358	species	4024382	381	297	0.0
Thiodictyon	53392	genus	0	19	0	0.0
Hyphomicrobium denitrificans	53399	species	3723828	346	265	0.0
Pseudomonas citronellolis	53408	species	14631203	1068	731	0.0
Pseudomonas resinovorans	53412	species	6484828	478	290	0.0
Xanthomonas axonopodis	53413	species	5296525	467	40	0.0
Halanaerobiales	53433	order	0	6	0	0.0
Halobacteroidaceae	53434	family	0	4	0	0.0
Treponema paraluiscuniculi	53435	species	1133390	192	32	0.0
Nocardiopsis alba	53437	species	5848211	507	366	0.0
Lactobacillus lindneri	53444	species	2842174	186	137	0.0
Janibacter	53457	genus	0	2	0	0.0
Nakamurella multipartita	53461	species	6060298	584	426	0.0
Deferribacter	53572	genus	0	1	0	0.0
Acidimicrobium ferrooxidans	53635	species	2158157	295	207	0.0
Octadecabacter	53945	genus	0	29	0	0.0
Octadecabacter arcticus	53946	species	5478249	6591	5411	0.00089734
Thermococcus peptonophilus	53952	species	1896106	31	27	0.0
Pyrococcus horikoshii	53953	species	1738505	62	58	0.0
Thermococcus barossii	54077	species	1922421	57	41	0.0
Methanolacinia petrolearia	54120	species	2843290	74	67	0.0
Hyperthermus butylicus	54248	species	1667163	156	49	0.0
Pyrolobus fumarii	54252	species	1843267	86	63	0.0
Thermosphaera aggregans	54254	species	1316595	8	8	0.0
Ignicoccus islandicus	54259	species	1394664	35	32	0.0
Ferroglobus placidus	54261	species	2196266	103	89	0.0
Thermococcus chitonophagus	54262	species	3931627	57	47	0.0
Raoultella ornithinolytica	54291	species	16883842	1145	652	0.0
Chroococcidiopsis	54298	genus	0	6	0	0.0
Chroococcidiopsis thermalis	54299	species	6689401	1948	1314	0.0
Pleurocapsa minor	54308	species	4986817	376	255	0.0
Pelagibacterales	54526	order	0	9	0	0.0
Streptomyces venezuelae	54571	species	26469547	2577	1750	0.0
Salmonella bongori	54736	species	4524275	1161	1017	0.0
Brevibacillus formosus	54913	species	6437015	286	183	0.0
Brevibacillus	55080	genus	0	3	0	0.0
Deinococcus proteolyticus	55148	species	2886836	798	540	0.0
Flavobacterium branchiophilum	55197	species	3563292	1234	873	0.0
Caldicellulosiruptor owensensis	55205	species	2428903	179	107	0.0
Sediminispirochaeta smaragdinae	55206	species	4653970	151	123	0.0
Pectobacterium wasabiae	55208	species	5043228	593	128	0.0
Janthinobacterium agaricidamnosum	55508	species	5949001	533	376	0.0
Magnetospirillum gryphiswaldense	55518	species	4225758	599	390	0.0
Dehalobacter restrictus	55583	species	2943336	89	61	0.0
Vibrio anguillarum	55601	species	18289476	1412	1024	4.2995e-05
Thermococcus barophilus	55802	species	2226382	102	87	0.0
Bartonella clarridgeiae	56426	species	1522743	380	149	0.0
Xanthomonas hortorum	56454	species	5250904	461	140	0.0
Xanthomonas sacchari	56458	species	5006106	660	406	0.0
Xanthomonas vasicola	56459	species	4909766	387	223	0.0
Xanthomonas vesicatoria	56460	species	5371907	1030	540	0.0
Halorubrum	56688	genus	0	7	0	0.0
Rhizobium gallicum	56730	species	7392696	629	446	0.0
Shewanella frigidimarina	56812	species	4845257	974	772	5.94646e-98
Thermus brockianus	56956	species	2388273	210	150	0.0
Thermus oshimai	56957	species	2401329	257	174	0.0
Psychroflexus torquis	57029	species	4321832	2047	1590	3.98002e-05
Pseudodesulfovibrio profundus	57320	species	4217908	114	79	0.0
Mycoplasma suis	57372	species	725850	189	140	0.0
Pseudothermotoga hypogea	57487	species	4330581	60	51	0.0
Kocuria	57493	genus	0	3	0	0.0
Dermacoccus	57495	genus	0	3	0	0.0
Kytococcus	57499	genus	0	6	0	0.0
Sulfurospirillum	57665	genus	0	22	2	0.0
Tsukamurella tyrosinosolvens	57704	species	4922396	1065	764	0.0
Halomicrobium mukohataei	57705	species	3332349	226	166	0.0
Citrobacter braakii	57706	species	10079064	360	60	0.0
Burkholderia thailandensis	57975	species	10437316	2719	1474	0.0
Colwellia sp. MT41	58049	species	4337945	1049	736	0.0
Moritella	58050	genus	0	9	0	0.0
Desulfotomaculum acetoxidans	58138	species	4545624	175	154	0.0
Desulfovibrio alaskensis	58180	species	3730232	140	102	0.0
Archaeoglobus veneficus	58290	species	1901943	76	67	0.0
Sagittula	58842	genus	0	1	0	0.0
Methanobacterium subterraneum	59277	species	2515817	86	20	0.0
Blastochloris	59282	genus	0	4	0	0.0
Streptococcus macedonicus	59310	species	2142762	114	27	0.0
Thauera aromatica	59405	species	3711792	434	231	0.0
Actinotignum schaalii	59505	species	2159306	85	70	0.0
Cellulophaga algicola	59600	species	4888353	2778	1808	3.21938e-05
Desulfotomaculum reducens	59610	species	3608104	403	294	0.0
Chryseobacterium	59732	genus	0	48	3	0.0
Persicobacter	59740	genus	0	4	0	0.0
Candidatus Phytoplasma australiense	59748	species	919869	148	116	0.0
Alcanivorax	59753	genus	0	38	0	0.0
Alcanivorax borkumensis	59754	species	3120143	421	69	0.000200353
Paenibacillus peoriae	59893	species	6219815	354	65	0.0
Cyanobium gracile	59930	species	3342364	491	352	0.0
Sulfitobacter	60136	genus	0	7	0	0.0
Shewanella violacea	60217	species	4962103	6813	5563	0.0
Shewanella amazonensis	60478	species	4306142	295	209	0.0
Shewanella sp. MR-4	60480	species	4706287	254	51	0.0
Shewanella sp. MR-7	60481	species	4799109	362	167	0.0
Lactobacillus paraplantarum	60520	species	3139729	156	125	0.0
Burkholderia pyrrocinia	60550	species	7961346	674	232	0.0
Burkholderia vietnamiensis	60552	species	20583751	1708	700	6.1348e-18
Halogeometricum borinquense	60847	species	3944467	175	130	0.0
Phaeobacter gallaeciensis	60890	species	17763019	2467	1338	1.7893e-05
Desulfobacca acetoxidans	60893	species	3282536	138	117	0.0
Sanguibacter	60919	genus	0	2	0	0.0
Sanguibacter keddieii	60920	species	4253413	657	511	0.0
Shewanella woodyi	60961	species	5935403	1215	382	0.0
Staphylococcus succinus	61015	species	2745675	358	234	0.0
Dehalococcoides mccartyi	61435	species	2475321	138	95	0.0
Paenibacillus mucilaginosus	61624	species	8740689	3465	1559	0.0
Acholeplasma brassicae	61635	species	1877792	171	141	0.0
Enterobacter asburiae	61645	species	6470569	512	243	0.0
Lelliottia amnigena	61646	species	9085730	1141	250	0.0
Pluralibacter gergoviae	61647	species	10897762	598	394	0.0
Kluyvera intermedia	61648	species	6166452	252	131	0.0
Serratia ficaria	61651	species	5209973	356	242	0.0
Serratia rubidaea	61652	species	4922834	398	243	0.0
Borreliella valaisiana	62088	species	992695	187	82	0.0
Acidiphilium multivorum	62140	species	4214744	447	89	0.0
Vibrio shilonii	62153	species	5812176	255	199	0.0
Haloterrigena turkmenica	62320	species	5440782	365	272	0.0
Shewanella baltica	62322	species	5325150	2939	1526	0.0
Azoarcus sp. BH72	62928	species	4376040	361	65	0.0
Acinetobacter sp. ADP1	62977	species	3598621	411	249	0.0
Geitlerinema	63132	genus	0	5	0	0.0
Zobellia galactanivorans	63186	species	5521712	649	474	0.0
Aquifex aeolicus	63363	species	1590791	44	41	0.0
Sodalis glossinidius	63612	species	4292502	295	161	0.0
Natrialba	63742	genus	0	8	0	0.0
Natronomonas	63743	genus	0	1	0	0.0
Sideroxydans lithotrophicus	63745	species	3003656	272	180	0.0
Desulfurobacterium thermolithotrophum	64160	species	1541968	310	240	0.0
Synechococcus sp. CC9311	64471	species	2606748	169	100	0.000119906
Borreliella	64895	genus	0	71	18	0.0
Borreliella bissettii	64897	species	1403443	209	82	0.0
Mitsuaria	65047	genus	0	11	0	0.0
Corynebacterium ulcerans	65058	species	4584154	139	116	0.0
Halothece sp. PCC 7418	65093	species	4179170	611	425	0.0
Mycoplasma wenyonii	65123	species	650228	60	41	0.0
Cyanothece sp. PCC 7424	65393	species	6554169	750	494	0.0
Actinoalloteichus	65496	genus	0	48	0	0.0
Sulfurospirillum deleyianum	65553	species	2306351	145	83	0.0
Desulfocapsa sulfexigens	65555	species	4023512	188	143	0.0
Pseudomonas knackmussii	65741	species	6162905	503	295	0.0
Acetobacter pomorum	65959	species	3007920	218	88	0.0
Wolbachia sp. wRi	66084	species	1445873	262	30	0.0
Lachnoclostridium phytofermentans	66219	species	4847594	522	427	0.0
Pantoea stewartii	66269	species	5314092	273	121	0.0
Sulfurospirillum multivorans	66821	species	3175729	139	59	0.0
Legionella waltersii	66969	species	3735697	439	327	0.0
Streptomyces alboflavus	67267	species	9967549	1332	939	0.0
Psychromonas	67572	genus	0	6	0	0.0
Methanocaldococcus infernus	67760	species	1328194	109	93	0.0
Edwardsiella ictaluri	67780	species	3721470	503	315	0.0
Citrobacter farmeri	67824	species	5715629	1757	222	0.0
Citrobacter rodentium	67825	species	5444283	192	92	0.0
Citrobacter werkmanii	67827	species	10027437	346	171	0.0
Actinobacillus succinogenes	67854	species	2319663	130	88	0.0
Kitasatospora albolonga	68173	species	8027788	6409	3958	0.0
Streptomyces cyaneogriseus	68192	species	7762396	831	497	0.0
Streptomyces fulvissimus	68202	species	7905758	1156	718	0.0
Streptomyces griseochromogenes	68214	species	10764674	1110	723	0.0
Streptomyces pactum	68249	species	16731053	2806	1797	0.0
Streptomyces violaceusniger	68280	species	11138313	1444	721	0.0
Mesorhizobium	68287	genus	0	144	7	0.0
Cyclobacterium	68288	genus	0	8	0	0.0
Thermoanaerobacterales	68295	order	0	10	0	0.0
Deferribacteres	68337	class	0	2	0	0.0
Streptomyces albulus	68570	species	14246598	11009	6753	0.0
Cupriavidus basilensis	68895	species	8421483	3726	2231	0.0
Deinococcus geothermalis	68909	species	3247018	263	183	0.0
Thermales	68933	order	0	15	0	0.0
Enterobacter cancerogenus	69218	species	4796512	172	123	0.0
Lelliottia nimipressuralis	69220	species	4826854	213	51	0.0
Phyllobacteriaceae	69277	family	0	14	0	0.0
Pseudomonas sp. VLB120	69328	species	5966222	257	132	0.0
Curtobacterium pusillum	69373	species	4541048	444	329	0.0
Caulobacter henricii	69395	species	3957288	435	297	0.0
Orientia	69474	genus	0	6	0	0.0
Petrotoga mobilis	69499	species	2169548	239	215	0.0
Natrinema pellirubrum	69525	species	4354100	374	224	0.0
Desulfuromonadales	69541	order	0	32	0	0.0
Cryobacterium	69578	genus	0	3	0	0.0
Hyphomonadaceae	69657	family	0	3	0	0.0
Caulobacter mirabilis	69666	species	4577265	446	311	0.0
Selenomonas sputigena	69823	species	2568361	155	127	0.0
Macrococcus	69965	genus	0	18	0	0.0
Macrococcus caseolyticus	69966	species	2247670	251	152	0.0
Staphylococcus condimenti	70255	species	5360562	289	185	0.0
Staphylococcus piscifermentans	70258	species	2613271	168	112	0.0
Frateuria	70411	genus	0	7	0	0.0
Pseudomonas plecoglossicida	70775	species	6233254	415	184	0.0
Shewanella oneidensis	70863	species	5131424	242	133	0.0
Shewanella pealeana	70864	species	5174581	441	289	0.0
Mesorhizobium amorphae	71433	species	7343952	543	356	0.0
Brenneria	71655	genus	0	9	0	0.0
Waddlia chondrophila	71667	species	2131905	85	74	0.0
Thermococcus gorgonarius	71997	species	1674122	27	22	0.0
Thermococcus pacificus	71998	species	1785673	39	29	0.0
Kocuria palustris	71999	species	2854447	333	235	0.0
Kocuria rhizophila	72000	species	2697708	250	200	0.0
Citromicrobium	72173	genus	0	7	0	0.0
Thiotrichales	72273	order	0	3	0	0.0
Pseudomonadales	72274	order	0	330	0	0.0
Alteromonadaceae	72275	family	0	43	0	0.0
Ectothiorhodospiraceae	72276	family	0	23	0	0.0
Helicobacteraceae	72293	family	0	5	0	0.0
Campylobacteraceae	72294	family	0	31	0	0.0
Bacillus vallismortis	72361	species	3929787	21	0	0.0
Tessaracoccus	72763	genus	0	5	0	0.0
Thermococcus siculi	72803	species	2029167	7905	7711	0.0
Dechloromonas	73029	genus	0	7	0	0.0
Thiocystis violascens	73141	species	5017071	748	591	0.0
Methanocaldococcus vulcanius	73913	species	1761737	197	173	0.0
Thermaerobacter	73918	genus	0	4	0	0.0
Thermaerobacter marianensis	73919	species	2844696	263	221	0.0
Roseovarius	74030	genus	0	3	0	0.0
Antarctobacter heliothermus	74033	species	5331190	1176	769	0
Photobacterium profundum	74109	species	6403280	938	670	0.0
Verrucomicrobia	74201	phylum	0	4	0	0.0
Brevundimonas subvibrioides	74313	species	3445263	999	292	0.0
Maricaulis	74317	genus	0	2	0	0.0
Maricaulis maris	74318	species	3368780	225	163	0.0
Collinsella aerofaciens	74426	species	2306349	163	112	0.0
Entomoplasma freundtii	74700	species	838114	65	50	0.0
Frankiaceae	74712	family	0	21	0	0.0
Pseudomonas balearica	74829	species	4383480	318	183	0.0
Ferroplasma	74968	genus	0	4	0	0.0
Ferroplasma acidiphilum	74969	species	1826943	94	19	0.0
Paraburkholderia caribensis	75105	species	18433653	1963	1197	0.0
Streptomyces autolyticus	75293	species	10184660	14605	12196	0.0
Rhodanobacter	75309	genus	0	1	0	0.0
Micropruina glycogenica	75385	species	3844677	253	190	0.0
Pseudomonas mandelii	75612	species	7188564	278	163	0.0
Campylobacter lanienae	75658	species	1594554	185	120	0.0
Oxalobacteraceae	75682	family	0	75	0	0.0
Castellaniella defragrans	75697	species	3952818	355	271	0.0
Rhodocyclaceae	75787	family	0	7	0	0.0
Thermocrinis ruber	75906	species	1521037	55	46	0.0
Mannheimia	75984	genus	0	7	0	0.0
Mannheimia haemolytica	75985	species	4158142	281	211	0.0
Halothece	76023	genus	0	1	0	0.0
Prevotella enoeca	76123	species	2861432	176	147	0.0
Campylobacter hominis	76517	species	1714951	219	166	0.0
Cellulophaga baltica	76594	species	4597822	2905	1836	0.0
Roseateles depolymerans	76731	species	5681722	1778	1071	0.0
Pseudomonas orientalis	76758	species	5986236	251	153	0.0
Pseudomonas monteilii	76759	species	7518946	1013	419	0.0
Pseudomonas veronii	76761	species	6852809	326	156	0.0
Myroides	76831	genus	0	55	0	0.0
Myroides odoratimimus	76832	species	4457748	1035	110	0.0
Solibacillus silvestris	76853	species	3987727	335	293	0.0
Streptococcus constellatus	76860	species	1954077	168	85	0.0
Caldivirga maquilingensis	76887	species	2077567	123	100	0.0
Caulobacteraceae	76892	family	0	68	0	0.0
Helicobacter typhlonius	76936	species	1920832	206	138	0.0
Sphingobium herbicidovorans	76947	species	4240798	212	126	0.0
Wolbachia endosymbiont of Drosophila simulans	77038	species	1288696	454	164	0.0
Wolbachia endosymbiont of Onchocerca volvulus	77551	species	960618	254	23	0.0
Parascardovia denticolens	78258	species	1890857	133	117	0.0
Scardovia inopinata	78259	species	1797862	166	147	0.0
Pseudomonas mosselii	78327	species	8870556	2494	1064	0.0
Mycobacterium canettii	78331	species	4482059	269	66	0.0
Asticcacaulis excentricus	78587	species	4308776	220	151	0.0
Desulfosporosinus	79206	genus	0	3	0	0.0
Desulfosporosinus meridiei	79209	species	4873567	273	239	0.0
Chitinophaga pinensis	79329	species	9127347	360	281	0.0
Denitrobacterium detoxificans	79604	species	2446250	88	71	0.0
Bacillus clausii	79880	species	6558835	309	238	0.0
Bacillus gibsonii	79881	species	4100094	35	3	0.0
Bacillus horikoshii	79883	species	4295882	236	194	0.0
Bacillus pseudofirmus	79885	species	4249248	402	307	0.0
Erwinia pyrifoliae	79967	species	4074263	267	148	0.0
Thioflavicoccus mobilis	80679	species	4137521	641	425	0.0
Haliangium ochraceum	80816	species	9446314	2967	2092	0.0
Burkholderiales	80840	order	0	1515	0	0.0
